	Questions	Queries	Pairs	Masked Questions
5959	What is the name of the race held most recently?	SELECT name FROM races ORDER BY date DESC LIMIT 1	"/* Answer the following: What is the name of the race held most recently? */
SELECT name FROM races ORDER BY date DESC LIMIT 1
"	What is the <mask> of the race held most recently?
5960	What is the name of the race that occurred most recently?	SELECT name FROM races ORDER BY date DESC LIMIT 1	"/* Answer the following: What is the name of the race that occurred most recently? */
SELECT name FROM races ORDER BY date DESC LIMIT 1
"	What is the <mask> of the race that occurred most recently?
5961	What is the name and date of the most recent race?	SELECT name ,  date FROM races ORDER BY date DESC LIMIT 1	"/* Answer the following: What is the name and date of the most recent race? */
SELECT name ,  date FROM races ORDER BY date DESC LIMIT 1
"	What is the <mask> and <mask> of the most recent race?
5962	What is the name and date of the race that occurred most recently?	SELECT name ,  date FROM races ORDER BY date DESC LIMIT 1	"/* Answer the following: What is the name and date of the race that occurred most recently? */
SELECT name ,  date FROM races ORDER BY date DESC LIMIT 1
"	What is the <mask> and <mask> of the race that occurred most recently?
5963	Find the names of all races held in 2017.	SELECT name FROM races WHERE YEAR = 2017	"/* Answer the following: Find the names of all races held in 2017. */
SELECT name FROM races WHERE YEAR = 2017
"	Find the <mask> of all <mask> held in 2017.
5964	What are the names of all the races that occurred in the year 2017?	SELECT name FROM races WHERE YEAR = 2017	"/* Answer the following: What are the names of all the races that occurred in the year 2017? */
SELECT name FROM races WHERE YEAR = 2017
"	What are the <mask> of all the <mask> that occurred in the year 2017?
5965	Find the distinct names of all races held between 2014 and 2017?	SELECT DISTINCT name FROM races WHERE YEAR BETWEEN 2014 AND 2017	"/* Answer the following: Find the distinct names of all races held between 2014 and 2017? */
SELECT DISTINCT name FROM races WHERE YEAR BETWEEN 2014 AND 2017
"	Find the distinct <mask> of all <mask> held between 2014 and 2017?
5966	What are the unique names of all race held between 2014 and 2017?	SELECT DISTINCT name FROM races WHERE YEAR BETWEEN 2014 AND 2017	"/* Answer the following: What are the unique names of all race held between 2014 and 2017? */
SELECT DISTINCT name FROM races WHERE YEAR BETWEEN 2014 AND 2017
"	What are the unique <mask> of all race held between 2014 and 2017?
5979	How many drivers did not participate in the races held in 2009?	SELECT count(DISTINCT driverId) FROM results WHERE raceId NOT IN( SELECT raceId FROM races WHERE YEAR != 2009 )	"/* Answer the following: How many drivers did not participate in the races held in 2009? */
SELECT count(DISTINCT driverId) FROM results WHERE raceId NOT IN( SELECT raceId FROM races WHERE YEAR != 2009 )
"	How many drivers did not participate in the <mask> held in 2009?
5980	How many drivers did not race in 2009?	SELECT count(DISTINCT driverId) FROM results WHERE raceId NOT IN( SELECT raceId FROM races WHERE YEAR != 2009 )	"/* Answer the following: How many drivers did not race in 2009? */
SELECT count(DISTINCT driverId) FROM results WHERE raceId NOT IN( SELECT raceId FROM races WHERE YEAR != 2009 )
"	How many drivers did not race in 2009?
5983	Find the forename and surname of drivers whose nationality is German?	"SELECT forename ,  surname FROM drivers WHERE nationality = ""German"""	"/* Answer the following: Find the forename and surname of drivers whose nationality is German? */
SELECT forename ,  surname FROM drivers WHERE nationality = ""German""
"	Find the <mask> and <mask> of <mask> whose <mask> is <mask>?
5984	What is the first and last name of all the German drivers?	"SELECT forename ,  surname FROM drivers WHERE nationality = ""German"""	"/* Answer the following: What is the first and last name of all the German drivers? */
SELECT forename ,  surname FROM drivers WHERE nationality = ""German""
"	What is the first and last name of all the <mask> <mask>?
5993	What are the numbers of constructors for different nationalities?	SELECT count(*) ,  nationality FROM constructors GROUP BY nationality	"/* Answer the following: What are the numbers of constructors for different nationalities? */
SELECT count(*) ,  nationality FROM constructors GROUP BY nationality
"	What are the numbers of <mask> for different nationalities?
5994	For each nationality, how many different constructors are there?	SELECT count(*) ,  nationality FROM constructors GROUP BY nationality	"/* Answer the following: For each nationality, how many different constructors are there? */
SELECT count(*) ,  nationality FROM constructors GROUP BY nationality
"	For each <mask>, how many different <mask> are there?
5995	What are the numbers of races for each constructor id?	SELECT count(*) ,  constructorid FROM constructorStandings GROUP BY constructorid	"/* Answer the following: What are the numbers of races for each constructor id? */
SELECT count(*) ,  constructorid FROM constructorStandings GROUP BY constructorid
"	What are the numbers of races for each constructor id?
5996	For each constructor id, how many races are there?	SELECT count(*) ,  constructorid FROM constructorStandings GROUP BY constructorid	"/* Answer the following: For each constructor id, how many races are there? */
SELECT count(*) ,  constructorid FROM constructorStandings GROUP BY constructorid
"	For each constructor id, how many races are there?
6001	Find the distinct driver id and the stop number of all drivers that have a shorter pit stop duration than some drivers in the race with id 841.	SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  <  (SELECT max(duration) FROM pitstops WHERE raceid  =  841)	"/* Answer the following: Find the distinct driver id and the stop number of all drivers that have a shorter pit stop duration than some drivers in the race with id 841. */
SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  <  (SELECT max(duration) FROM pitstops WHERE raceid  =  841)
"	Find the distinct driver id and the stop number of all drivers that have a shorter pit stop <mask> than some drivers in the race with id 841.
6002	What is the id and stop number for each driver that has a shorter pit stop than the driver in the race with id 841?	SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  <  (SELECT max(duration) FROM pitstops WHERE raceid  =  841)	"/* Answer the following: What is the id and stop number for each driver that has a shorter pit stop than the driver in the race with id 841? */
SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  <  (SELECT max(duration) FROM pitstops WHERE raceid  =  841)
"	What is the id and stop number for each driver that has a shorter pit stop than the driver in the race with id 841?
6003	Find the distinct driver id of all drivers that have a longer stop duration than some drivers in the race whose id is 841?	SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  >  (SELECT min(duration) FROM pitstops WHERE raceid  =  841)	"/* Answer the following: Find the distinct driver id of all drivers that have a longer stop duration than some drivers in the race whose id is 841? */
SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  >  (SELECT min(duration) FROM pitstops WHERE raceid  =  841)
"	Find the distinct driver id of all drivers that have a longer stop <mask> than some drivers in the race whose id is 841?
6004	What are the different ids and stop durations of all the drivers whose stop lasted longer than the driver in the race with the id 841?	SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  >  (SELECT min(duration) FROM pitstops WHERE raceid  =  841)	"/* Answer the following: What are the different ids and stop durations of all the drivers whose stop lasted longer than the driver in the race with the id 841? */
SELECT DISTINCT driverid ,  STOP FROM pitstops WHERE duration  >  (SELECT min(duration) FROM pitstops WHERE raceid  =  841)
"	What are the different ids and stop <mask> of all the drivers whose stop lasted longer than the driver in the race with the id 841?
6005	List the forenames of all distinct drivers in alphabetical order?	SELECT DISTINCT forename FROM drivers ORDER BY forename ASC	"/* Answer the following: List the forenames of all distinct drivers in alphabetical order? */
SELECT DISTINCT forename FROM drivers ORDER BY forename ASC
"	List the <mask> of all distinct <mask> in alphabetical order?
6006	What are the first names of all the different drivers in alphabetical order?	SELECT DISTINCT forename FROM drivers ORDER BY forename ASC	"/* Answer the following: What are the first names of all the different drivers in alphabetical order? */
SELECT DISTINCT forename FROM drivers ORDER BY forename ASC
"	What are the first names of all the different <mask> in alphabetical order?
6007	List the names of all distinct races in reversed  lexicographic order?	SELECT DISTINCT name FROM races ORDER BY name DESC	"/* Answer the following: List the names of all distinct races in reversed  lexicographic order? */
SELECT DISTINCT name FROM races ORDER BY name DESC
"	List the <mask> of all distinct <mask> in reversed  lexicographic order?
6008	What are the different names of all the races in reverse alphabetical order?	SELECT DISTINCT name FROM races ORDER BY name DESC	"/* Answer the following: What are the different names of all the races in reverse alphabetical order? */
SELECT DISTINCT name FROM races ORDER BY name DESC
"	What are the different <mask> of all the <mask> in reverse alphabetical order?
6009	What are the names of races held between 2009 and 2011?	SELECT name FROM races WHERE YEAR BETWEEN 2009 AND 2011	"/* Answer the following: What are the names of races held between 2009 and 2011? */
SELECT name FROM races WHERE YEAR BETWEEN 2009 AND 2011
"	What are the <mask> of <mask> held between 2009 and 2011?
6010	What are the names of all races held between 2009 and 2011?	SELECT name FROM races WHERE YEAR BETWEEN 2009 AND 2011	"/* Answer the following: What are the names of all races held between 2009 and 2011? */
SELECT name FROM races WHERE YEAR BETWEEN 2009 AND 2011
"	What are the <mask> of all <mask> held between 2009 and 2011?
6011	What are the names of races held after 12:00:00 or before 09:00:00?	"SELECT name FROM races WHERE TIME > ""12:00:00"" OR TIME < ""09:00:00"""	"/* Answer the following: What are the names of races held after 12:00:00 or before 09:00:00? */
SELECT name FROM races WHERE TIME > ""12:00:00"" OR TIME < ""09:00:00""
"	What are the <mask> of <mask> held after <mask> or before <mask>?
6012	What are the names of all races that occurred after 12:00:00 or before 09:00:00?	"SELECT name FROM races WHERE TIME > ""12:00:00"" OR TIME < ""09:00:00"""	"/* Answer the following: What are the names of all races that occurred after 12:00:00 or before 09:00:00? */
SELECT name FROM races WHERE TIME > ""12:00:00"" OR TIME < ""09:00:00""
"	What are the <mask> of all <mask> that occurred after <mask> or before <mask>?
6019	What are the names of circuits that belong to UK or Malaysia?	"SELECT name FROM circuits WHERE country = ""UK"" OR country = ""Malaysia"""	"/* Answer the following: What are the names of circuits that belong to UK or Malaysia? */
SELECT name FROM circuits WHERE country = ""UK"" OR country = ""Malaysia""
"	What are the <mask> of <mask> that belong to UK or <mask>?
6020	What are the names of all the circuits that are in the UK or Malaysia?	"SELECT name FROM circuits WHERE country = ""UK"" OR country = ""Malaysia"""	"/* Answer the following: What are the names of all the circuits that are in the UK or Malaysia? */
SELECT name FROM circuits WHERE country = ""UK"" OR country = ""Malaysia""
"	What are the <mask> of all the <mask> that are in the UK or <mask>?
6021	Find the id and location of circuits that belong to France or Belgium?	"SELECT circuitid ,  LOCATION FROM circuits WHERE country = ""France"" OR country = ""Belgium"""	"/* Answer the following: Find the id and location of circuits that belong to France or Belgium? */
SELECT circuitid ,  LOCATION FROM circuits WHERE country = ""France"" OR country = ""Belgium""
"	Find the id and location of <mask> that belong to <mask> or <mask>?
6022	What are the ids and locations of all circuits in France or Belgium?	"SELECT circuitid ,  LOCATION FROM circuits WHERE country = ""France"" OR country = ""Belgium"""	"/* Answer the following: What are the ids and locations of all circuits in France or Belgium? */
SELECT circuitid ,  LOCATION FROM circuits WHERE country = ""France"" OR country = ""Belgium""
"	What are the ids and locations of all <mask> in <mask> or <mask>?
6039	How many technicians are there?	SELECT count(*) FROM technician	"/* Answer the following: How many technicians are there? */
SELECT count(*) FROM technician
"	How many <mask> are there?
6040	What is the number of technicians?	SELECT count(*) FROM technician	"/* Answer the following: What is the number of technicians? */
SELECT count(*) FROM technician
"	What is the number of <mask>?
6041	List the names of technicians in ascending order of age.	SELECT Name FROM technician ORDER BY Age ASC	"/* Answer the following: List the names of technicians in ascending order of age. */
SELECT Name FROM technician ORDER BY Age ASC
"	List the <mask> of <mask> in ascending order of <mask>.
6042	What are the names of the technicians by ascending order of age?	SELECT Name FROM technician ORDER BY Age ASC	"/* Answer the following: What are the names of the technicians by ascending order of age? */
SELECT Name FROM technician ORDER BY Age ASC
"	What are the <mask> of the <mask> by ascending order of <mask>?
6043	What are the team and starting year of technicians?	SELECT Team ,  Starting_Year FROM technician	"/* Answer the following: What are the team and starting year of technicians? */
SELECT Team ,  Starting_Year FROM technician
"	What are the <mask> and starting year of <mask>?
6044	What is the team and starting year for each technician?	SELECT Team ,  Starting_Year FROM technician	"/* Answer the following: What is the team and starting year for each technician? */
SELECT Team ,  Starting_Year FROM technician
"	What is the <mask> and starting year for each <mask>?
6045	"List the name of technicians whose team is not ""NYY""."	"SELECT Name FROM technician WHERE Team != ""NYY"""	"/* Answer the following: List the name of technicians whose team is not ""NYY"". */
SELECT Name FROM technician WHERE Team != ""NYY""
"	"List the <mask> of <mask> whose <mask> is not ""NYY""."
6046	What is the name of the technician whose team is not 'NYY'?	"SELECT Name FROM technician WHERE Team != ""NYY"""	"/* Answer the following: What is the name of the technician whose team is not 'NYY'? */
SELECT Name FROM technician WHERE Team != ""NYY""
"	What is the <mask> of the <mask> whose <mask> is not 'NYY'?
6047	Show the name of technicians aged either 36 or 37	SELECT Name FROM technician WHERE Age  =  36 OR Age  =  37	"/* Answer the following: Show the name of technicians aged either 36 or 37 */
SELECT Name FROM technician WHERE Age  =  36 OR Age  =  37
"	Show the <mask> of <mask> aged either 36 or 37
6048	What are the names of the technicians aged either 36 or 37?	SELECT Name FROM technician WHERE Age  =  36 OR Age  =  37	"/* Answer the following: What are the names of the technicians aged either 36 or 37? */
SELECT Name FROM technician WHERE Age  =  36 OR Age  =  37
"	What are the <mask> of the <mask> aged either 36 or 37?
6049	What is the starting year of the oldest technicians?	SELECT Starting_Year FROM technician ORDER BY Age DESC LIMIT 1	"/* Answer the following: What is the starting year of the oldest technicians? */
SELECT Starting_Year FROM technician ORDER BY Age DESC LIMIT 1
"	What is the starting year of the oldest <mask>?
6050	What is the starting year for the oldest technician?	SELECT Starting_Year FROM technician ORDER BY Age DESC LIMIT 1	"/* Answer the following: What is the starting year for the oldest technician? */
SELECT Starting_Year FROM technician ORDER BY Age DESC LIMIT 1
"	What is the starting year for the oldest <mask>?
6051	Show different teams of technicians and the number of technicians in each team.	SELECT Team ,  COUNT(*) FROM technician GROUP BY Team	"/* Answer the following: Show different teams of technicians and the number of technicians in each team. */
SELECT Team ,  COUNT(*) FROM technician GROUP BY Team
"	Show different <mask> of <mask> and the number of <mask> in each <mask>.
6052	For each team, how many technicians are there?	SELECT Team ,  COUNT(*) FROM technician GROUP BY Team	"/* Answer the following: For each team, how many technicians are there? */
SELECT Team ,  COUNT(*) FROM technician GROUP BY Team
"	For each <mask>, how many <mask> are there?
6053	Please show the team that has the most number of technicians.	SELECT Team FROM technician GROUP BY Team ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: Please show the team that has the most number of technicians. */
SELECT Team FROM technician GROUP BY Team ORDER BY COUNT(*) DESC LIMIT 1
"	Please show the <mask> that has the most number of <mask>.
6054	What are the teams with the most technicians?	SELECT Team FROM technician GROUP BY Team ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: What are the teams with the most technicians? */
SELECT Team FROM technician GROUP BY Team ORDER BY COUNT(*) DESC LIMIT 1
"	What are the <mask> with the most <mask>?
6055	Show the team that have at least two technicians.	SELECT Team FROM technician GROUP BY Team HAVING COUNT(*)  >=  2	"/* Answer the following: Show the team that have at least two technicians. */
SELECT Team FROM technician GROUP BY Team HAVING COUNT(*)  >=  2
"	Show the <mask> that have at least two <mask>.
6056	What is the team with at least 2 technicians?	SELECT Team FROM technician GROUP BY Team HAVING COUNT(*)  >=  2	"/* Answer the following: What is the team with at least 2 technicians? */
SELECT Team FROM technician GROUP BY Team HAVING COUNT(*)  >=  2
"	What is the <mask> with at least 2 <mask>?
6065	List the names of technicians who have not been assigned to repair machines.	SELECT Name FROM technician WHERE technician_id NOT IN (SELECT technician_id FROM repair_assignment)	"/* Answer the following: List the names of technicians who have not been assigned to repair machines. */
SELECT Name FROM technician WHERE technician_id NOT IN (SELECT technician_id FROM repair_assignment)
"	List the <mask> of <mask> who have not been assigned to repair machines.
6066	What are the names of the technicians that have not been assigned to repair machines?	SELECT Name FROM technician WHERE technician_id NOT IN (SELECT technician_id FROM repair_assignment)	"/* Answer the following: What are the names of the technicians that have not been assigned to repair machines? */
SELECT Name FROM technician WHERE technician_id NOT IN (SELECT technician_id FROM repair_assignment)
"	What are the <mask> of the <mask> that have not been assigned to repair machines?
6067	"Show the starting years shared by technicians from team ""CLE"" and ""CWS""."	"SELECT Starting_Year FROM technician WHERE Team  =  ""CLE"" INTERSECT SELECT Starting_Year FROM technician WHERE Team  =  ""CWS"""	"/* Answer the following: Show the starting years shared by technicians from team ""CLE"" and ""CWS"". */
SELECT Starting_Year FROM technician WHERE Team  =  ""CLE"" INTERSECT SELECT Starting_Year FROM technician WHERE Team  =  ""CWS""
"	"Show the starting years shared by <mask> from <mask> ""CLE"" and ""CWS""."
6068	"What are the starting years shared by the technicians from the team ""CLE"" or ""CWS""?"	"SELECT Starting_Year FROM technician WHERE Team  =  ""CLE"" INTERSECT SELECT Starting_Year FROM technician WHERE Team  =  ""CWS"""	"/* Answer the following: What are the starting years shared by the technicians from the team ""CLE"" or ""CWS""? */
SELECT Starting_Year FROM technician WHERE Team  =  ""CLE"" INTERSECT SELECT Starting_Year FROM technician WHERE Team  =  ""CWS""
"	"What are the starting years shared by the <mask> from the <mask> ""CLE"" or ""CWS""?"
6069	How many entrepreneurs are there?	SELECT count(*) FROM entrepreneur	"/* Answer the following: How many entrepreneurs are there? */
SELECT count(*) FROM entrepreneur
"	How many <mask> are there?
6070	Count the number of entrepreneurs.	SELECT count(*) FROM entrepreneur	"/* Answer the following: Count the number of entrepreneurs. */
SELECT count(*) FROM entrepreneur
"	<mask> the number of <mask>.
6071	List the companies of entrepreneurs in descending order of money requested.	SELECT Company FROM entrepreneur ORDER BY Money_Requested DESC	"/* Answer the following: List the companies of entrepreneurs in descending order of money requested. */
SELECT Company FROM entrepreneur ORDER BY Money_Requested DESC
"	List the companies of <mask> in descending order of money requested.
6072	What are the companies of entrepreneurs, ordered descending by amount of money requested?	SELECT Company FROM entrepreneur ORDER BY Money_Requested DESC	"/* Answer the following: What are the companies of entrepreneurs, ordered descending by amount of money requested? */
SELECT Company FROM entrepreneur ORDER BY Money_Requested DESC
"	What are the companies of <mask>, ordered descending by amount of money requested?
6073	List the companies and the investors of entrepreneurs.	SELECT Company ,  Investor FROM entrepreneur	"/* Answer the following: List the companies and the investors of entrepreneurs. */
SELECT Company ,  Investor FROM entrepreneur
"	List the companies and the <mask> of <mask>.
6074	What are the companies and investors that correspond to each entrepreneur?	SELECT Company ,  Investor FROM entrepreneur	"/* Answer the following: What are the companies and investors that correspond to each entrepreneur? */
SELECT Company ,  Investor FROM entrepreneur
"	What are the companies and <mask> that correspond to each <mask>?
6075	What is the average money requested by all entrepreneurs?	SELECT avg(Money_Requested) FROM entrepreneur	"/* Answer the following: What is the average money requested by all entrepreneurs? */
SELECT avg(Money_Requested) FROM entrepreneur
"	What is the average money requested by all <mask>?
6076	Return the average money requested across all entrepreneurs.	SELECT avg(Money_Requested) FROM entrepreneur	"/* Answer the following: Return the average money requested across all entrepreneurs. */
SELECT avg(Money_Requested) FROM entrepreneur
"	Return the average money requested across all <mask>.
6077	What are the names of people in ascending order of weight?	SELECT Name FROM People ORDER BY Weight ASC	"/* Answer the following: What are the names of people in ascending order of weight? */
SELECT Name FROM People ORDER BY Weight ASC
"	What are the <mask> of <mask> in ascending order of <mask>?
6078	Return the names of people, ordered by weight ascending.	SELECT Name FROM People ORDER BY Weight ASC	"/* Answer the following: Return the names of people, ordered by weight ascending. */
SELECT Name FROM People ORDER BY Weight ASC
"	Return the <mask> of <mask>, ordered by <mask> ascending.
6083	What is the weight of the shortest person?	SELECT Weight FROM people ORDER BY Height ASC LIMIT 1	"/* Answer the following: What is the weight of the shortest person? */
SELECT Weight FROM people ORDER BY Height ASC LIMIT 1
"	What is the <mask> of the shortest person?
6084	Return the weight of the shortest person.	SELECT Weight FROM people ORDER BY Height ASC LIMIT 1	"/* Answer the following: Return the weight of the shortest person. */
SELECT Weight FROM people ORDER BY Height ASC LIMIT 1
"	Return the <mask> of the shortest person.
6093	What are the investors of entrepreneurs and the corresponding number of entrepreneurs invested by each investor?	SELECT Investor ,  COUNT(*) FROM entrepreneur GROUP BY Investor	"/* Answer the following: What are the investors of entrepreneurs and the corresponding number of entrepreneurs invested by each investor? */
SELECT Investor ,  COUNT(*) FROM entrepreneur GROUP BY Investor
"	What are the <mask> of <mask> and the corresponding number of <mask> invested by each <mask>?
6094	How many entrepreneurs correspond to each investor?	SELECT Investor ,  COUNT(*) FROM entrepreneur GROUP BY Investor	"/* Answer the following: How many entrepreneurs correspond to each investor? */
SELECT Investor ,  COUNT(*) FROM entrepreneur GROUP BY Investor
"	How many <mask> correspond to each <mask>?
6095	What is the investor that has invested in the most number of entrepreneurs?	SELECT Investor FROM entrepreneur GROUP BY Investor ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: What is the investor that has invested in the most number of entrepreneurs? */
SELECT Investor FROM entrepreneur GROUP BY Investor ORDER BY COUNT(*) DESC LIMIT 1
"	What is the <mask> that has invested in the most number of <mask>?
6096	Return the investor who have invested in the greatest number of entrepreneurs.	SELECT Investor FROM entrepreneur GROUP BY Investor ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: Return the investor who have invested in the greatest number of entrepreneurs. */
SELECT Investor FROM entrepreneur GROUP BY Investor ORDER BY COUNT(*) DESC LIMIT 1
"	Return the <mask> who have invested in the greatest number of <mask>.
6097	What are the investors that have invested in at least two entrepreneurs?	SELECT Investor FROM entrepreneur GROUP BY Investor HAVING COUNT(*)  >=  2	"/* Answer the following: What are the investors that have invested in at least two entrepreneurs? */
SELECT Investor FROM entrepreneur GROUP BY Investor HAVING COUNT(*)  >=  2
"	What are the <mask> that have invested in at least two <mask>?
6098	Return the investors who have invested in two or more entrepreneurs.	SELECT Investor FROM entrepreneur GROUP BY Investor HAVING COUNT(*)  >=  2	"/* Answer the following: Return the investors who have invested in two or more entrepreneurs. */
SELECT Investor FROM entrepreneur GROUP BY Investor HAVING COUNT(*)  >=  2
"	Return the <mask> who have invested in two or more <mask>.
6101	List the names of people that are not entrepreneurs.	SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM entrepreneur)	"/* Answer the following: List the names of people that are not entrepreneurs. */
SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM entrepreneur)
"	List the <mask> of <mask> that are not <mask>.
6102	What are the names of people who are not entrepreneurs?	SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM entrepreneur)	"/* Answer the following: What are the names of people who are not entrepreneurs? */
SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM entrepreneur)
"	What are the <mask> of <mask> who are not <mask>?
6103	Show the investors shared by entrepreneurs that requested more than 140000 and entrepreneurs that requested less than 120000.	SELECT Investor FROM entrepreneur WHERE Money_Requested  >  140000 INTERSECT SELECT Investor FROM entrepreneur WHERE Money_Requested  <  120000	"/* Answer the following: Show the investors shared by entrepreneurs that requested more than 140000 and entrepreneurs that requested less than 120000. */
SELECT Investor FROM entrepreneur WHERE Money_Requested  >  140000 INTERSECT SELECT Investor FROM entrepreneur WHERE Money_Requested  <  120000
"	Show the <mask> shared by <mask> that requested more than 140000 and <mask> that requested less than 120000.
6104	What are the investors who have invested in both entrepreneurs who requested more than 140000 and entrepreneurs who requested less than 120000?	SELECT Investor FROM entrepreneur WHERE Money_Requested  >  140000 INTERSECT SELECT Investor FROM entrepreneur WHERE Money_Requested  <  120000	"/* Answer the following: What are the investors who have invested in both entrepreneurs who requested more than 140000 and entrepreneurs who requested less than 120000? */
SELECT Investor FROM entrepreneur WHERE Money_Requested  >  140000 INTERSECT SELECT Investor FROM entrepreneur WHERE Money_Requested  <  120000
"	What are the <mask> who have invested in both <mask> who requested more than 140000 and <mask> who requested less than 120000?
6105	How many distinct companies are there?	SELECT count(DISTINCT Company) FROM entrepreneur	"/* Answer the following: How many distinct companies are there? */
SELECT count(DISTINCT Company) FROM entrepreneur
"	How many distinct companies are there?
6106	Count the number of different companies.	SELECT count(DISTINCT Company) FROM entrepreneur	"/* Answer the following: Count the number of different companies. */
SELECT count(DISTINCT Company) FROM entrepreneur
"	<mask> the number of different companies.
6109	How many perpetrators are there?	SELECT count(*) FROM perpetrator	"/* Answer the following: How many perpetrators are there? */
SELECT count(*) FROM perpetrator
"	How many <mask> are there?
6110	List the date of perpetrators in descending order of the number of people killed.	SELECT Date FROM perpetrator ORDER BY Killed DESC	"/* Answer the following: List the date of perpetrators in descending order of the number of people killed. */
SELECT Date FROM perpetrator ORDER BY Killed DESC
"	List the <mask> of <mask> in descending order of the number of people <mask>.
6111	List the number of people injured by perpetrators in ascending order.	SELECT Injured FROM perpetrator ORDER BY Injured ASC	"/* Answer the following: List the number of people injured by perpetrators in ascending order. */
SELECT Injured FROM perpetrator ORDER BY Injured ASC
"	List the number of people <mask> by <mask> in ascending order.
6112	What is the average number of people injured by all perpetrators?	SELECT avg(Injured) FROM perpetrator	"/* Answer the following: What is the average number of people injured by all perpetrators? */
SELECT avg(Injured) FROM perpetrator
"	What is the average number of people <mask> by all <mask>?
6113	What is the location of the perpetrator with the largest kills.	SELECT LOCATION FROM perpetrator ORDER BY Killed DESC LIMIT 1	"/* Answer the following: What is the location of the perpetrator with the largest kills. */
SELECT LOCATION FROM perpetrator ORDER BY Killed DESC LIMIT 1
"	What is the location of the <mask> with the largest kills.
6114	What are the names of people in ascending order of height?	SELECT Name FROM People ORDER BY Height ASC	"/* Answer the following: What are the names of people in ascending order of height? */
SELECT Name FROM People ORDER BY Height ASC
"	What are the <mask> of <mask> in ascending order of <mask>?
6121	What are the countries of perpetrators? Show each country and the corresponding number of perpetrators there.	SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country	"/* Answer the following: What are the countries of perpetrators? Show each country and the corresponding number of perpetrators there. */
SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country
"	What are the countries of <mask>? Show each <mask> and the corresponding number of <mask> there.
6122	What is the country that has the most perpetrators?	SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: What is the country that has the most perpetrators? */
SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country ORDER BY COUNT(*) DESC LIMIT 1
"	What is the <mask> that has the most <mask>?
6123	What are the countries that have at least two perpetrators?	SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country HAVING COUNT(*)  >=  2	"/* Answer the following: What are the countries that have at least two perpetrators? */
SELECT Country ,  COUNT(*) FROM perpetrator GROUP BY Country HAVING COUNT(*)  >=  2
"	What are the countries that have at least two <mask>?
6125	List the names of people that are not perpetrators.	SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM perpetrator)	"/* Answer the following: List the names of people that are not perpetrators. */
SELECT Name FROM people WHERE People_ID NOT IN (SELECT People_ID FROM perpetrator)
"	List the <mask> of <mask> that are not <mask>.
6126	Show the countries that have both perpetrators with injures more than 50 and perpetrators with injures smaller than 20.	SELECT Country FROM perpetrator WHERE Injured  >  50 INTERSECT SELECT Country FROM perpetrator WHERE Injured  <  20	"/* Answer the following: Show the countries that have both perpetrators with injures more than 50 and perpetrators with injures smaller than 20. */
SELECT Country FROM perpetrator WHERE Injured  >  50 INTERSECT SELECT Country FROM perpetrator WHERE Injured  <  20
"	Show the countries that have both <mask> with injures more than 50 and <mask> with injures smaller than 20.
6127	How many distinct locations of perpetrators are there?	SELECT count(DISTINCT LOCATION) FROM perpetrator	"/* Answer the following: How many distinct locations of perpetrators are there? */
SELECT count(DISTINCT LOCATION) FROM perpetrator
"	How many distinct locations of <mask> are there?
6129	In which year did the most recent crime happen?	SELECT max(YEAR) FROM perpetrator;	"/* Answer the following: In which year did the most recent crime happen? */
SELECT max(YEAR) FROM perpetrator;
"	In which year did the most recent crime happen?
6130	Report the name of all campuses in Los Angeles county.	"SELECT campus FROM campuses WHERE county  =  ""Los Angeles"""	"/* Answer the following: Report the name of all campuses in Los Angeles county. */
SELECT campus FROM campuses WHERE county  =  ""Los Angeles""
"	Report the name of all <mask> in <mask> <mask> <mask>.
6131	What campuses are located in the county of Los Angeles?	"SELECT campus FROM campuses WHERE county  =  ""Los Angeles"""	"/* Answer the following: What campuses are located in the county of Los Angeles? */
SELECT campus FROM campuses WHERE county  =  ""Los Angeles""
"	What <mask> are located in the <mask> of <mask> <mask>?
